phi,mean,maxi,const
4.30,0.319299,0.960747,0.30
4.20,0.273595,0.912450,0.30
4.60,0.209079,0.726048,0.30
4.40,0.191048,0.690748,0.30
4.80,-0.098687,0.619435,0.30
4.50,0.289216,0.798345,0.30
4.70,0.032370,0.390703,0.30
4.90,-0.233171,0.579168,0.30
5.50,-0.157961,0.233993,0.30
5.60,-0.190820,0.402800,0.30
5.70,-0.072342,0.689705,0.30
5.80,-0.053477,0.628299,0.30
6.10,-0.007014,0.656421,0.30
6.20,-0.001554,0.179075,0.30
5.90,-0.049060,0.526534,0.30
0.00,0.000000,-0.000000,0.40
0.10,0.028906,0.341189,0.40
6.00,-0.019159,0.347337,0.30
0.30,0.006083,0.365997,0.40
0.40,0.066115,0.564442,0.40
0.50,0.076115,0.533159,0.40
0.60,0.054305,0.766684,0.40
0.70,0.120089,0.706232,0.40
0.80,0.181780,0.752362,0.40
0.20,0.039496,0.346726,0.40
5.20,-0.211244,0.607531,0.30
5.30,-0.152647,0.779858,0.30
5.10,-0.222344,0.980334,0.30
1.30,0.331033,0.873759,0.40
0.90,0.139811,0.808032,0.40
1.10,0.303984,0.952889,0.40
1.20,0.333861,0.969385,0.40
1.00,0.295607,0.886227,0.40
5.40,-0.180601,0.622872,0.30
1.90,-0.413149,0.277989,0.40
1.60,-0.031020,0.550476,0.40
1.40,0.223822,0.951497,0.40
1.50,0.121564,0.607014,0.40
1.70,-0.274880,0.157417,0.40
1.80,-0.374118,0.473072,0.40
2.00,-0.221289,0.558133,0.40
5.00,-0.262013,0.501953,0.30
2.70,-0.113876,0.663803,0.40
2.30,-0.284147,0.591792,0.40
2.20,-0.291518,0.694576,0.40
2.10,-0.316326,0.682135,0.40
2.40,-0.234313,0.543604,0.40
2.50,-0.186553,0.289765,0.40
2.60,-0.127812,0.590695,0.40
3.00,-0.041129,0.236069,0.40
2.80,-0.051530,0.496851,0.40
3.20,0.021521,0.328178,0.40
3.30,0.055351,0.387310,0.40
3.10,-0.011365,0.125250,0.40
2.90,-0.064014,0.219060,0.40
4.00,0.297124,0.990290,0.40
4.20,0.303708,0.769606,0.40
4.30,0.241949,0.910345,0.40
3.80,0.168360,0.736326,0.40
3.70,0.182967,0.694407,0.40
3.90,0.293256,0.794960,0.40
4.10,0.313412,0.896761,0.40
4.40,0.430035,0.933837,0.40
4.50,0.302920,0.815897,0.40
4.60,0.240827,0.831503,0.40
4.70,0.023511,0.613005,0.40
4.80,-0.129831,0.603039,0.40
4.90,-0.195232,0.708830,0.40
5.00,-0.370501,0.416824,0.40
5.10,-0.343208,0.611511,0.40
5.20,-0.308915,0.377889,0.40
3.40,0.085000,0.677729,0.40
3.50,0.090197,0.656136,0.40
3.60,0.105130,0.668643,0.40
5.90,-0.090864,0.483764,0.40
5.30,-0.291703,0.255767,0.40
5.40,-0.207511,0.451912,0.40
5.50,-0.149204,0.570292,0.40
5.60,-0.116542,0.618814,0.40
5.70,-0.137559,0.681863,0.40
6.00,-0.026295,0.783754,0.40
6.20,-0.027799,0.122948,0.40
0.30,0.047570,0.512483,0.50
6.10,-0.056182,0.272830,0.40
0.10,0.047375,0.344175,0.50
0.20,0.053425,0.504765,0.50
0.00,0.000000,-0.000000,0.50
1.10,0.326200,0.864691,0.50
0.60,0.131905,0.740270,0.50
0.50,0.109381,0.720748,0.50
0.40,0.095286,0.845425,0.50
0.70,0.188418,0.838554,0.50
0.80,0.220698,0.844505,0.50
0.90,0.245644,0.896808,0.50
1.30,0.401490,0.960343,0.50
1.20,0.422687,0.891581,0.50
5.80,-0.105114,0.392480,0.40
2.10,-0.369823,0.455766,0.50
2.20,-0.364310,0.314868,0.50
2.30,-0.312391,0.514560,0.50
2.50,-0.215044,0.363299,0.50
2.40,-0.233532,0.785617,0.50
1.00,0.275434,0.876574,0.50
2.60,-0.174496,0.492652,0.50
2.70,-0.158048,0.362719,0.50
2.80,-0.112310,0.391438,0.50
1.40,0.267057,0.795173,0.50
1.90,-0.497198,0.040761,0.50
2.00,-0.411234,0.340193,0.50
1.80,-0.363501,0.475154,0.50
1.60,-0.067776,0.315707,0.50
3.00,-0.066545,0.081364,0.50
3.10,-0.017738,0.045103,0.50
3.30,0.069851,0.599202,0.50
3.40,0.071372,0.738143,0.50
1.70,-0.309355,0.326819,0.50
3.50,0.110571,0.711661,0.50
4.10,0.333837,0.915274,0.50
4.20,0.352814,0.865035,0.50
1.50,0.123815,0.890728,0.50
3.60,0.132305,0.908379,0.50
3.70,0.184476,0.833964,0.50
3.80,0.217782,0.787870,0.50
3.90,0.288206,0.944275,0.50
2.90,-0.093270,0.114587,0.50
4.30,0.447303,0.931657,0.50
4.40,0.465329,0.932050,0.50
4.50,0.353071,0.852786,0.50
4.60,0.197380,0.939093,0.50
4.70,0.049519,0.482052,0.50
4.80,-0.120120,0.705548,0.50
4.90,-0.325576,0.640504,0.50
3.20,0.026995,0.127096,0.50
0.20,0.044708,0.532337,0.60
0.00,0.000000,-0.000000,0.60
0.10,0.032597,0.229755,0.60
5.20,-0.323022,0.389054,0.50
5.10,-0.415389,0.334551,0.50
5.00,-0.384864,0.769029,0.50
5.40,-0.214143,0.821419,0.50
5.50,-0.160983,0.686104,0.50
5.30,-0.311060,0.420235,0.50
0.30,0.065923,0.471851,0.60
0.40,0.131416,0.758552,0.60
0.50,0.149444,0.842500,0.60
5.60,-0.147979,0.794738,0.50
5.70,-0.148121,0.437329,0.50
5.80,-0.141740,0.483155,0.50
1.20,0.433840,0.970071,0.60
1.30,0.402826,0.939644,0.60
0.60,0.167842,0.899089,0.60
6.10,-0.070028,0.376438,0.50
0.90,0.255299,0.849526,0.60
1.00,0.297108,0.907780,0.60
0.80,0.296266,0.891656,0.60
1.10,0.426994,0.940888,0.60
0.70,0.189322,0.963309,0.60
6.20,-0.053723,0.079218,0.50
5.90,-0.098756,0.909126,0.50
6.00,-0.075469,0.273627,0.50
2.20,-0.348684,0.785159,0.60
2.10,-0.407826,0.482875,0.60
1.40,0.294421,0.760884,0.60
2.30,-0.366753,0.500834,0.60
1.50,0.009075,0.339754,0.60
2.40,-0.314891,0.266501,0.60
4.00,0.283120,0.839229,0.50
