phi,mean,maxi,const
5.50,-0.533785,-0.119714,2.50
0.40,0.327418,0.572894,2.60
0.90,0.567277,0.956067,2.60
1.00,0.557168,0.879197,2.60
1.10,0.515412,0.942322,2.60
0.50,0.377534,0.705395,2.60
1.20,0.456732,0.969376,2.60
0.60,0.436089,0.784722,2.60
0.70,0.497812,0.834048,2.60
6.00,-0.242575,0.060603,2.50
6.10,-0.165930,0.045119,2.50
0.80,0.551176,0.875527,2.60
0.00,0.000000,0.000000,2.60
1.50,0.096094,0.453584,2.60
1.60,-0.055138,0.261529,2.60
1.70,-0.194878,0.023953,2.60
1.30,0.364701,0.923341,2.60
1.40,0.234384,0.729902,2.60
0.10,0.089280,0.149826,2.60
0.30,0.257013,0.438032,2.60
0.20,0.175564,0.289151,2.60
3.00,-0.133783,-0.061536,2.60
3.10,-0.039513,-0.014471,2.60
3.20,0.056568,0.090282,2.60
2.00,-0.499141,-0.114306,2.60
1.90,-0.432148,-0.098259,2.60
1.80,-0.324974,-0.040149,2.60
6.20,-0.072579,0.036009,2.50
2.10,-0.543202,-0.105065,2.60
2.30,-0.544226,-0.160045,2.60
3.30,0.151558,0.255861,2.60
3.40,0.241847,0.388864,2.60
2.40,-0.511738,-0.127496,2.60
2.70,-0.373408,0.095126,2.60
2.90,-0.225474,-0.099477,2.60
2.60,-0.421931,0.025200,2.60
2.20,-0.565500,-0.142718,2.60
3.80,0.472805,0.844217,2.60
4.70,0.028878,0.551942,2.60
4.80,-0.119317,0.428465,2.60
4.90,-0.257224,0.222552,2.60
5.00,-0.385858,0.064804,2.60
3.90,0.518365,0.902960,2.60
4.00,0.552774,0.958805,2.60
4.10,0.564611,0.942351,2.60
4.20,0.538905,0.797522,2.60
3.70,0.426231,0.888430,2.60
5.50,-0.539835,-0.159546,2.60
5.40,-0.567892,-0.135046,2.60
5.20,-0.520465,-0.046313,2.60
2.50,-0.466728,-0.072867,2.60
3.60,0.380657,0.708397,2.60
3.50,0.314922,0.538333,2.60
5.30,-0.559738,-0.086219,2.60
2.80,-0.299120,0.609039,2.60
4.60,0.175247,0.689595,2.60
6.10,-0.164297,0.032323,2.60
5.10,-0.467039,-0.002061,2.60
6.00,-0.249187,0.027983,2.60
4.50,0.303488,0.719178,2.60
5.70,-0.421192,-0.093166,2.60
5.90,-0.316899,-0.009585,2.60
5.60,-0.483571,-0.129274,2.60
4.30,0.488467,0.859342,2.60
0.00,0.000000,0.000000,2.70
6.20,-0.075190,0.020318,2.60
0.20,0.180257,0.292442,2.70
0.10,0.091111,0.148249,2.70
0.30,0.258334,0.446506,2.70
0.90,0.572379,0.966469,2.70
1.00,0.549196,0.852194,2.70
1.10,0.512648,0.964745,2.70
1.20,0.452754,0.942866,2.70
1.50,0.095051,0.428719,2.70
1.60,-0.056434,0.251682,2.70
1.70,-0.197148,0.012400,2.70
1.40,0.230885,0.687279,2.70
4.40,0.418522,0.911597,2.60
0.50,0.385776,0.729303,2.70
0.60,0.440033,0.794658,2.70
0.70,0.505464,0.847488,2.70
1.30,0.364773,0.892548,2.70
5.80,-0.372492,-0.072702,2.60
1.80,-0.326797,-0.043134,2.70
0.40,0.329771,0.619627,2.70
1.90,-0.434872,-0.096126,2.70
2.00,-0.495383,-0.131865,2.70
2.10,-0.544082,-0.133035,2.70
2.20,-0.567977,-0.166247,2.70
0.80,0.551935,0.886563,2.70
3.00,-0.136172,-0.062560,2.70
3.20,0.057069,0.094162,2.70
3.90,0.520732,0.952758,2.70
3.80,0.478008,0.919903,2.70
2.80,-0.306093,0.406072,2.70
2.50,-0.467857,-0.151842,2.70
2.60,-0.422139,-0.025513,2.70
2.70,-0.374851,0.040530,2.70
3.10,-0.041199,-0.017919,2.70
2.40,-0.513120,-0.175006,2.70
3.70,0.430817,0.993990,2.70
2.90,-0.226477,0.074785,2.70
3.50,0.325860,0.565612,2.70
4.00,0.559296,0.943368,2.70
3.40,0.243783,0.395260,2.70
3.60,0.382171,0.758364,2.70
4.20,0.538912,0.890918,2.70
4.10,0.568090,0.913471,2.70
2.30,-0.550381,-0.161623,2.70
4.50,0.305135,0.700031,2.70
4.70,0.027699,0.562442,2.70
4.30,0.487617,0.871660,2.70
3.30,0.153542,0.260399,2.70
4.40,0.417576,0.934508,2.70
4.90,-0.253755,0.198850,2.70
5.00,-0.386593,0.044425,2.70
5.90,-0.319120,-0.022452,2.70
0.10,0.092506,0.152713,2.80
4.80,-0.117126,0.521566,2.70
5.50,-0.542509,-0.172490,2.70
5.60,-0.496277,-0.174473,2.70
5.70,-0.434993,-0.117860,2.70
5.80,-0.376251,-0.056140,2.70
4.60,0.172081,0.666542,2.70
0.00,0.000000,0.000000,2.80
0.20,0.182193,0.313000,2.80
6.20,-0.076196,0.010121,2.70
0.30,0.267239,0.454858,2.80
6.00,-0.249375,0.021244,2.70
0.70,0.505628,0.838428,2.80
0.90,0.561961,0.946837,2.80
1.00,0.547811,0.854964,2.80
0.60,0.445812,0.810983,2.80
0.80,0.552655,0.892734,2.80
0.40,0.332498,0.632983,2.80
0.50,0.386707,0.723503,2.80
5.10,-0.461173,-0.038331,2.70
5.20,-0.515922,-0.089114,2.70
5.40,-0.568268,-0.134334,2.70
5.30,-0.555181,-0.107154,2.70
2.40,-0.520449,-0.194176,2.80
2.10,-0.545409,-0.148312,2.80
2.20,-0.573526,-0.185797,2.80
2.30,-0.554671,-0.196589,2.80
2.50,-0.470629,-0.152074,2.80
3.00,-0.138224,-0.055914,2.80
3.10,-0.043488,-0.019745,2.80
3.20,0.057399,0.093542,2.80
3.40,0.244291,0.432057,2.80
3.50,0.322348,0.579757,2.80
3.30,0.155202,0.252536,2.80
3.60,0.384727,0.818523,2.80
3.70,0.436863,0.952505,2.80
3.80,0.480086,0.917506,2.80
1.70,-0.197269,0.007355,2.80
1.90,-0.437014,-0.099122,2.80
2.00,-0.495508,-0.105639,2.80
3.90,0.525144,0.924439,2.80
4.00,0.560534,0.943358,2.80
2.80,-0.316640,-0.025082,2.80
1.30,0.363411,0.874679,2.80
1.10,0.508930,0.938506,2.80
1.20,0.449972,0.952952,2.80
1.40,0.229884,0.660241,2.80
4.10,0.570328,0.933454,2.80
4.30,0.487199,0.864549,2.80
1.50,0.094360,0.456286,2.80
4.20,0.539918,0.907551,2.80
1.60,-0.053061,0.274677,2.80
2.70,-0.376313,0.015747,2.80
6.10,-0.165437,0.012932,2.70
2.60,-0.427000,-0.082697,2.80
2.90,-0.235741,-0.106172,2.80
4.90,-0.255182,0.158452,2.80
5.00,-0.384207,0.000861,2.80
5.10,-0.461810,-0.055913,2.80
5.20,-0.513743,-0.114623,2.80
5.30,-0.553944,-0.118478,2.80
4.50,0.306009,0.704392,2.80
4.40,0.417384,0.953534,2.80
5.90,-0.314337,-0.037177,2.80
5.80,-0.379027,-0.092335,2.80
6.00,-0.252639,-0.028415,2.80
5.40,-0.568215,-0.159285,2.80
6.10,-0.169670,-0.016360,2.80
5.70,-0.432636,-0.075901,2.80
0.00,0.000000,0.000000,2.90
6.20,-0.076325,-0.003526,2.80
0.20,0.184280,0.302511,2.90
0.10,0.094537,0.153221,2.90
0.30,0.264187,0.437846,2.90
0.50,0.394725,0.710485,2.90
0.40,0.335069,0.614780,2.90
1.80,-0.327315,-0.045202,2.80
4.60,0.172091,0.665102,2.80
4.70,0.030920,0.659104,2.80
4.80,-0.116868,0.465462,2.80
5.50,-0.542351,-0.173025,2.80
5.60,-0.499133,-0.174154,2.80
0.70,0.504387,0.828209,2.90
1.30,0.362722,0.879334,2.90
1.20,0.449104,0.974279,2.90
1.90,-0.438273,-0.100409,2.90
2.00,-0.499062,-0.166814,2.90
2.10,-0.546238,-0.207575,2.90
2.20,-0.572727,-0.211261,2.90
1.40,0.229887,0.632998,2.90
2.30,-0.560273,-0.209797,2.90
1.50,0.090180,0.453404,2.90
2.60,-0.431157,-0.122360,2.90
0.60,0.454535,0.781328,2.90
2.50,-0.482113,-0.194365,2.90
0.80,0.550910,0.897574,2.90
2.40,-0.523863,-0.228588,2.90
2.70,-0.374789,0.128333,2.90
2.80,-0.321222,-0.049142,2.90
2.90,-0.236883,0.036876,2.90
3.00,-0.140257,0.014252,2.90
3.10,-0.042526,-0.019222,2.90
3.20,0.059406,0.104515,2.90
3.30,0.164019,0.444713,2.90
1.70,-0.198357,0.007799,2.90
1.80,-0.328056,-0.046657,2.90
1.10,0.505962,0.928603,2.90
0.90,0.562955,0.940894,2.90
4.10,0.570460,0.930990,2.90
1.60,-0.053428,0.241957,2.90
4.40,0.418998,0.916227,2.90
3.90,0.531360,0.931310,2.90
5.10,-0.456770,-0.073476,2.90
5.00,-0.379174,0.035597,2.90
5.20,-0.515774,-0.101523,2.90
3.60,0.384146,0.830506,2.90
3.40,0.250368,0.443367,2.90
3.50,0.323765,0.594887,2.90
4.70,0.028102,0.617696,2.90
4.80,-0.115538,0.497999,2.90
5.30,-0.551096,-0.150749,2.90
5.70,-0.440120,-0.098449,2.90
1.00,0.541980,0.861113,2.90
5.40,-0.563280,-0.153299,2.90
5.50,-0.543533,-0.150736,2.90
5.60,-0.496834,-0.153713,2.90
5.80,-0.381578,-0.081229,2.90
5.90,-0.325920,-0.058508,2.90
6.00,-0.250175,-0.030084,2.90
6.10,-0.168291,-0.025329,2.90
3.70,0.437213,0.873046,2.90
0.30,0.271473,0.462441,3.00
4.60,0.172242,0.632618,2.90
0.20,0.187972,0.306495,3.00
0.10,0.094874,0.163258,3.00
0.50,0.394860,0.707516,3.00
0.60,0.452002,0.785812,3.00
0.70,0.508565,0.821896,3.00
0.00,0.000000,0.000000,3.00
0.40,0.343145,0.588142,3.00
3.80,0.488411,0.946354,2.90
4.90,-0.252656,0.170081,2.90
4.30,0.491355,0.871703,2.90
4.20,0.537683,0.867684,2.90
0.80,0.550719,0.910434,3.00
6.20,-0.079645,-0.011341,2.90
4.00,0.569399,0.936407,2.90
1.00,0.547998,0.870044,3.00
1.50,0.090862,0.462330,3.00
1.10,0.503933,0.898925,3.00
1.20,0.448045,0.967871,3.00
1.80,-0.327785,-0.040978,3.00
2.00,-0.502315,-0.161048,3.00
1.90,-0.438156,-0.100772,3.00
0.90,0.564174,0.959261,3.00
1.70,-0.193655,0.007599,3.00
2.10,-0.544511,-0.213937,3.00
2.20,-0.573152,-0.236310,3.00
2.40,-0.531337,-0.254190,3.00
2.50,-0.488909,-0.222718,3.00
2.60,-0.434048,-0.089098,3.00
2.70,-0.378944,0.032157,3.00
2.30,-0.568074,-0.257996,3.00
4.50,0.306828,0.721946,2.90
1.30,0.359835,0.884173,3.00
3.20,0.059639,0.103800,3.00
3.10,-0.042844,-0.020076,3.00
3.50,0.333079,0.593943,3.00
3.30,0.160922,0.278609,3.00
3.40,0.258815,0.476894,3.00
1.40,0.228220,0.625720,3.00
2.80,-0.322032,0.038604,3.00
3.90,0.537334,0.890178,3.00
4.00,0.572390,0.959400,3.00
4.70,0.026902,0.611687,3.00
4.80,-0.113759,0.490425,3.00
1.60,-0.053091,0.222988,3.00
4.90,-0.251007,0.111569,3.00
5.00,-0.377613,0.061986,3.00
5.10,-0.455950,-0.096566,3.00
3.00,-0.141675,-0.011142,3.00
3.80,0.496881,0.916923,3.00
3.70,0.445646,0.828379,3.00
3.60,0.387707,0.773732,3.00
5.20,-0.512311,-0.125725,3.00
2.90,-0.234665,0.010294,3.00
5.50,-0.545711,-0.175270,3.00
5.60,-0.499698,-0.159352,3.00
5.80,-0.392340,-0.092208,3.00
5.90,-0.328931,-0.075987,3.00
6.00,-0.260639,-0.050727,3.00
5.70,-0.436054,-0.097164,3.00
6.10,-0.177051,-0.029696,3.00
0.00,0.000000,0.000000,3.10
6.20,-0.078309,-0.006361,3.00
4.50,0.309366,0.701393,3.00
4.10,0.570439,0.890246,3.00
4.20,0.537736,0.856894,3.00
4.40,0.419826,0.956845,3.00
4.30,0.488370,0.870574,3.00
0.30,0.280983,0.532287,3.10
4.60,0.174157,0.701109,3.00
5.40,-0.566311,-0.164713,3.00
0.60,0.450540,0.774187,3.10
0.70,0.512314,0.819482,3.10
0.80,0.555540,0.914473,3.10
0.50,0.395313,0.714807,3.10
0.90,0.563953,0.934533,3.10
1.00,0.546633,0.872813,3.10
0.10,0.096106,0.157192,3.10
0.20,0.191712,0.313535,3.10
1.10,0.497168,0.883583,3.10
1.20,0.442490,0.951310,3.10
1.80,-0.328977,-0.043851,3.10
5.30,-0.551795,-0.150091,3.00
1.30,0.357178,0.893677,3.10
2.00,-0.500817,-0.163339,3.10
1.90,-0.431842,-0.092384,3.10
1.50,0.090198,0.470718,3.10
1.40,0.224019,0.646381,3.10
2.40,-0.536232,-0.258918,3.10
2.50,-0.494588,-0.238377,3.10
2.10,-0.547269,-0.216768,3.10
2.60,-0.441440,-0.174515,3.10
2.20,-0.571094,-0.241103,3.10
2.30,-0.568435,-0.259720,3.10
2.70,-0.383911,0.039121,3.10
0.40,0.345723,0.595684,3.10
3.20,0.062709,0.155631,3.10
2.90,-0.241324,0.103963,3.10
3.00,-0.145138,-0.066451,3.10
3.10,-0.043697,-0.020028,3.10
2.80,-0.330892,-0.001695,3.10
3.30,0.163280,0.283871,3.10
3.40,0.254010,0.474500,3.10
3.90,0.543993,0.906054,3.10
3.80,0.498795,0.887901,3.10
4.60,0.170959,0.692781,3.10
4.80,-0.112010,0.501402,3.10
4.90,-0.249111,0.123540,3.10
1.60,-0.051167,0.234293,3.10
5.00,-0.376719,0.019302,3.10
4.50,0.309604,0.695896,3.10
4.70,0.029683,0.642632,3.10
3.70,0.449275,0.909297,3.10
3.50,0.335560,0.598348,3.10
3.60,0.392456,0.860276,3.10
5.10,-0.452471,-0.109771,3.10
5.50,-0.551800,-0.185753,3.10
5.40,-0.566999,-0.172582,3.10
5.60,-0.503300,-0.145553,3.10
6.10,-0.176949,-0.025880,3.10
5.70,-0.438937,-0.088157,3.10
5.80,-0.389131,-0.084126,3.10
1.70,-0.195265,0.019353,3.10
5.90,-0.332858,-0.092747,3.10
6.00,-0.269472,-0.066375,3.10
6.20,-0.079981,-0.014108,3.10
4.00,0.571449,0.970875,3.10
4.20,0.537314,0.908653,3.10
4.10,0.569469,0.928288,3.10
0.40,0.353405,0.602915,3.20
0.50,0.398304,0.703646,3.20
0.00,0.000000,0.000000,3.20
0.10,0.099014,0.163019,3.20
4.40,0.420540,0.941629,3.10
1.10,0.498192,0.884466,3.20
0.90,0.567841,0.943152,3.20
0.80,0.562734,0.922685,3.20
1.00,0.543888,0.866439,3.20
0.70,0.514914,0.848101,3.20
1.30,0.354096,0.875672,3.20
1.20,0.442813,0.971589,3.20
1.50,0.089226,0.453498,3.20
1.40,0.223980,0.613209,3.20
1.70,-0.197474,-0.000137,3.20
1.80,-0.332032,-0.043520,3.20
1.60,-0.055300,0.227906,3.20
5.30,-0.550332,-0.176556,3.10
0.30,0.287772,0.616172,3.20
2.50,-0.499890,-0.249936,3.20
5.20,-0.510306,-0.135567,3.10
2.20,-0.571886,-0.254326,3.20
2.40,-0.543552,-0.261282,3.20
2.30,-0.567636,-0.260687,3.20
4.30,0.490933,0.842678,3.10
2.00,-0.501144,-0.165985,3.20
2.90,-0.242904,0.103398,3.20
3.00,-0.146322,-0.064347,3.20
2.60,-0.451665,-0.178253,3.20
3.10,-0.044143,-0.020170,3.20
1.90,-0.431931,-0.108731,3.20
2.70,-0.385594,0.025456,3.20
2.80,-0.325561,-0.079226,3.20
3.20,0.061522,0.107812,3.20
0.60,0.452848,0.772199,3.20
0.20,0.194339,0.310762,3.20
4.20,0.537388,0.963455,3.20
4.30,0.491167,0.879228,3.20
3.90,0.549440,0.964625,3.20
3.80,0.505481,0.897142,3.20
3.30,0.166439,0.290449,3.20
3.70,0.458307,0.883540,3.20
3.60,0.396848,0.857205,3.20
3.50,0.338779,0.623713,3.20
4.40,0.420962,0.913205,3.20
4.50,0.309875,0.728216,3.20
5.00,-0.373847,0.021510,3.20
4.60,0.175169,0.699688,3.20
4.80,-0.110841,0.474750,3.20
4.90,-0.245633,0.118137,3.20
4.70,0.027454,0.598463,3.20
4.00,0.575559,0.977767,3.20
5.20,-0.507637,-0.140026,3.20
5.10,-0.453584,-0.130361,3.20
6.10,-0.176949,-0.042564,3.20
0.00,0.000000,0.000000,3.30
0.10,0.100464,0.167297,3.30
0.30,0.282520,0.463817,3.30
0.20,0.194349,0.323559,3.30
2.10,-0.544801,-0.218914,3.20
6.20,-0.082231,-0.020535,3.20
0.60,0.459101,0.778434,3.30
0.40,0.356964,0.634055,3.30
0.50,0.398090,0.716361,3.30
0.70,0.524269,0.882136,3.30
0.80,0.566212,0.930893,3.30
0.90,0.565372,0.935908,3.30
1.00,0.542201,0.939290,3.30
5.80,-0.398483,-0.108266,3.20
5.70,-0.443527,-0.110737,3.20
1.30,0.351307,0.868617,3.30
2.10,-0.541302,-0.223639,3.30
6.00,-0.267801,-0.057661,3.20
5.60,-0.507126,-0.163374,3.20
1.80,-0.332178,-0.046988,3.30
5.30,-0.553736,-0.181348,3.20
5.40,-0.566142,-0.197964,3.20
1.40,0.221857,0.606844,3.30
5.50,-0.555672,-0.201306,3.20
2.00,-0.497631,-0.174137,3.30
1.90,-0.432578,-0.106946,3.30
1.70,-0.199389,0.036780,3.30
2.20,-0.569653,-0.256122,3.30
2.30,-0.571579,-0.270409,3.30
2.40,-0.543407,-0.254211,3.30
3.40,0.260331,0.475711,3.20
2.70,-0.391886,0.038926,3.30
1.20,0.436420,0.950262,3.30
2.90,-0.245754,-0.026426,3.30
3.00,-0.148662,-0.030832,3.30
3.10,-0.044421,-0.019481,3.30
3.20,0.062805,0.127047,3.30
3.30,0.174077,0.548236,3.30
3.40,0.264465,0.574570,3.30
2.80,-0.327354,-0.096074,3.30
4.10,0.569176,0.943476,3.20
1.60,-0.054139,0.227203,3.30
3.90,0.548721,0.993466,3.30
3.80,0.512423,0.900327,3.30
1.50,0.087892,0.464482,3.30
1.10,0.496394,0.873700,3.30
3.50,0.336097,0.606523,3.30
3.60,0.401128,0.879834,3.30
3.70,0.468071,0.935726,3.30
5.90,-0.342642,-0.096792,3.20
4.20,0.538922,0.942715,3.30
4.10,0.567040,0.962743,3.30
4.00,0.574615,0.985365,3.30
4.60,0.173406,0.694203,3.30
2.60,-0.454845,-0.203150,3.30
4.30,0.488124,0.888375,3.30
4.40,0.419524,0.901547,3.30
5.30,-0.545997,-0.193593,3.30
2.50,-0.504825,-0.254112,3.30
4.90,-0.244112,0.121404,3.30
5.40,-0.567348,-0.203289,3.30
5.00,-0.370438,-0.038674,3.30
5.20,-0.503906,-0.155845,3.30
5.10,-0.448253,-0.142239,3.30
4.80,-0.109538,0.422212,3.30
5.50,-0.561178,-0.201901,3.30
4.70,0.028015,0.608484,3.30
5.60,-0.513407,-0.185746,3.30
5.70,-0.449117,-0.122340,3.30
5.80,-0.394418,-0.117445,3.30
4.50,0.312663,0.764081,3.30
6.20,-0.083046,-0.013472,3.30
0.00,0.000000,0.000000,3.40
0.10,0.100466,0.172541,3.40
0.90,0.565276,0.904686,3.40
0.20,0.194649,0.332114,3.40
0.70,0.530124,0.909801,3.40
0.80,0.571035,0.947165,3.40
0.60,0.467348,0.788048,3.40
0.40,0.358086,0.610629,3.40
0.30,0.289086,0.535133,3.40
1.20,0.437569,0.953757,3.40
1.00,0.543141,0.892022,3.40
1.10,0.492839,0.874478,3.40
1.30,0.345263,0.870270,3.40
1.40,0.218639,0.610707,3.40
1.60,-0.054067,0.202591,3.40
1.50,0.083558,0.459318,3.40
5.90,-0.344869,-0.100539,3.30
2.40,-0.543782,-0.277348,3.40
2.50,-0.507124,-0.262940,3.40
2.20,-0.566912,-0.253928,3.40
2.30,-0.572244,-0.276397,3.40
2.80,-0.333396,-0.119882,3.40
2.90,-0.248034,-0.005291,3.40
1.70,-0.198103,0.021564,3.40
1.90,-0.433570,-0.104394,3.40
2.00,-0.494925,-0.173552,3.40
6.00,-0.267461,-0.058472,3.30
2.10,-0.539733,-0.222462,3.40
3.90,0.550273,0.970287,3.40
3.40,0.265402,0.500154,3.40
3.30,0.173269,0.432045,3.40
4.00,0.575177,0.997580,3.40
6.10,-0.178169,-0.051025,3.30
3.10,-0.044912,-0.019738,3.40
3.20,0.063525,0.117086,3.40
3.00,-0.147934,0.077453,3.40
4.10,0.564042,0.965023,3.40
1.80,-0.330127,-0.047523,3.40
3.70,0.471479,0.883104,3.40
3.50,0.340484,0.629952,3.40
3.80,0.515485,0.925268,3.40
3.60,0.408361,0.881222,3.40
0.50,0.403693,0.717072,3.40
4.20,0.533940,0.991056,3.40
4.30,0.489933,0.945555,3.40
4.70,0.029994,0.624587,3.40
4.80,-0.107009,0.409020,3.40
5.10,-0.445652,-0.136609,3.40
5.20,-0.496812,-0.161786,3.40
5.30,-0.544773,-0.198967,3.40
5.60,-0.522892,-0.198883,3.40
5.40,-0.568345,-0.210584,3.40
5.50,-0.567484,-0.219416,3.40
5.70,-0.454302,-0.154863,3.40
5.80,-0.398468,-0.125166,3.40
6.00,-0.275388,-0.074745,3.40
5.90,-0.343323,-0.106983,3.40
6.10,-0.180670,-0.053729,3.40
2.70,-0.395074,0.020573,3.40
2.60,-0.459928,-0.191075,3.40
4.40,0.418561,0.899930,3.40
5.00,-0.365625,-0.024987,3.40
0.50,0.408537,0.741500,3.50
0.20,0.197379,0.339410,3.50
0.30,0.288164,0.483591,3.50
0.40,0.364842,0.634758,3.50
4.90,-0.241931,0.098092,3.40
0.00,0.000000,0.000000,3.50
4.50,0.312168,0.747966,3.40
0.60,0.472751,0.797587,3.50
0.70,0.538451,0.928985,3.50
0.90,0.565528,0.920604,3.50
0.80,0.570681,0.961531,3.50
1.00,0.536168,0.852928,3.50
1.20,0.429798,0.924734,3.50
1.10,0.489935,0.906390,3.50
0.10,0.101763,0.171755,3.50
2.10,-0.537960,-0.226212,3.50
2.20,-0.562996,-0.264357,3.50
1.30,0.343736,0.926380,3.50
1.40,0.215483,0.602202,3.50
1.90,-0.430443,-0.112543,3.50
6.20,-0.084625,-0.024927,3.40
2.00,-0.495014,-0.182791,3.50
4.60,0.172706,0.652297,3.40
1.70,-0.199934,0.021846,3.50
1.50,0.081413,0.445513,3.50
1.60,-0.050057,0.235405,3.50
1.80,-0.331638,-0.040244,3.50
2.30,-0.573798,-0.275761,3.50
2.70,-0.398032,0.058780,3.50
2.80,-0.333167,-0.131575,3.50
2.50,-0.507567,-0.263842,3.50
3.70,0.469683,0.887771,3.50
3.20,0.064284,0.122402,3.50
3.30,0.174236,0.464515,3.50
2.90,-0.249238,0.002767,3.50
3.10,-0.045880,-0.020619,3.50
3.00,-0.151847,-0.068414,3.50
3.40,0.265129,0.476149,3.50
2.40,-0.548072,-0.280766,3.50
3.60,0.412103,0.879175,3.50
2.60,-0.462765,-0.180535,3.50
5.60,-0.527401,-0.209219,3.50
5.50,-0.570565,-0.219221,3.50
4.30,0.488500,0.914889,3.50
5.00,-0.363186,-0.022912,3.50
5.10,-0.443538,-0.119084,3.50
5.20,-0.496613,-0.174705,3.50
5.30,-0.545119,-0.192383,3.50
5.40,-0.570871,-0.214456,3.50
4.90,-0.238409,0.085216,3.50
5.80,-0.398792,-0.126208,3.50
5.70,-0.461816,-0.168920,3.50
5.90,-0.361048,-0.125121,3.50
6.00,-0.277404,-0.070757,3.50
6.10,-0.182082,-0.044566,3.50
0.00,0.000000,0.000000,3.60
6.20,-0.086117,-0.010672,3.50
4.60,0.168157,0.611521,3.50
4.70,0.030153,0.644274,3.50
4.50,0.312996,0.784074,3.50
3.80,0.515832,0.901307,3.50
4.10,0.560440,0.956351,3.50
0.80,0.572218,0.965297,3.60
3.90,0.555185,0.978432,3.50
0.20,0.200704,0.344290,3.60
0.50,0.413881,0.745557,3.60
4.20,0.533602,0.975299,3.50
0.90,0.563156,0.918993,3.60
0.60,0.478867,0.805601,3.60
4.40,0.414872,0.888598,3.50
3.50,0.345734,0.643506,3.50
0.10,0.103642,0.178507,3.60
0.30,0.302345,0.585490,3.60
4.00,0.574990,0.970170,3.50
2.50,-0.516334,-0.267452,3.60
2.10,-0.534039,-0.230642,3.60
2.00,-0.492030,-0.183326,3.60
1.80,-0.328243,-0.043488,3.60
1.30,0.338809,0.849270,3.60
1.40,0.213245,0.608943,3.60
1.20,0.429648,0.913691,3.60
1.50,0.080464,0.439666,3.60
1.10,0.486178,0.864111,3.60
1.00,0.535183,0.889429,3.60
1.90,-0.428846,-0.116737,3.60
1.60,-0.052925,0.225636,3.60
0.40,0.366853,0.628793,3.60
1.70,-0.198464,0.007092,3.60
2.40,-0.548375,-0.260589,3.60
4.80,-0.104939,0.422543,3.50
3.10,-0.046178,-0.021798,3.60
3.00,-0.156460,-0.071164,3.60
3.30,0.172805,0.329568,3.60
3.20,0.064286,0.119817,3.60
3.40,0.268140,0.519224,3.60
3.50,0.346152,0.647717,3.60
3.60,0.415839,0.861470,3.60
3.70,0.474066,0.911795,3.60
3.80,0.519410,0.922440,3.60
3.90,0.551980,0.933466,3.60
4.10,0.557180,0.926513,3.60
0.70,0.542490,0.974083,3.60
4.00,0.571260,0.970823,3.60
2.30,-0.571626,-0.284461,3.60
2.20,-0.562804,-0.267226,3.60
2.60,-0.468871,-0.206707,3.60
4.40,0.413134,0.876239,3.60
2.90,-0.258692,-0.122659,3.60
2.80,-0.331428,0.118976,3.60
4.50,0.312303,0.836061,3.60
5.20,-0.497641,-0.165915,3.60
5.30,-0.537655,-0.191975,3.60
5.50,-0.572162,-0.229493,3.60
5.40,-0.570984,-0.226998,3.60
5.60,-0.534837,-0.211206,3.60
5.80,-0.405421,-0.149893,3.60
0.00,0.000000,0.000000,3.70
5.70,-0.464450,-0.180724,3.60
5.90,-0.361769,-0.120980,3.60
6.00,-0.281570,-0.100699,3.60
6.20,-0.085344,-0.011656,3.60
6.10,-0.186287,-0.046707,3.60
5.10,-0.436816,-0.147338,3.60
4.70,0.030877,0.621977,3.60
2.70,-0.404386,-0.028188,3.60
4.90,-0.236227,0.094827,3.60
0.10,0.105587,0.177324,3.70
4.20,0.530123,0.962448,3.60
4.80,-0.102361,0.392719,3.60
4.30,0.483849,0.862990,3.60
5.00,-0.360574,-0.044049,3.60
4.60,0.170935,0.658514,3.60
0.40,0.366635,0.635050,3.70
0.30,0.300855,0.499043,3.70
0.80,0.575222,0.968772,3.70
0.90,0.564230,0.902315,3.70
1.00,0.527873,0.836225,3.70
1.10,0.482333,0.853622,3.70
1.20,0.425639,0.903219,3.70
1.30,0.335201,0.847320,3.70
1.40,0.210103,0.599026,3.70
2.20,-0.559962,-0.265819,3.70
0.50,0.414610,0.747322,3.70
0.70,0.546041,0.961758,3.70
0.60,0.482282,0.820161,3.70
1.80,-0.327648,-0.047931,3.70
1.70,-0.197812,0.011986,3.70
1.90,-0.425231,-0.116922,3.70
2.00,-0.489624,-0.181130,3.70
2.30,-0.572082,-0.288508,3.70
3.30,0.175481,0.321659,3.70
3.50,0.352293,0.633233,3.70
3.40,0.272191,0.495003,3.70
3.60,0.420886,0.814397,3.70
3.70,0.483294,0.852090,3.70
3.80,0.522490,0.930909,3.70
1.50,0.079053,0.429971,3.70
0.20,0.204297,0.349578,3.70
2.50,-0.515648,-0.272815,3.70
4.60,0.171277,0.659259,3.70
4.10,0.556305,0.983323,3.70
4.00,0.572673,0.933033,3.70
3.90,0.555236,0.949997,3.70
4.50,0.309770,0.854641,3.70
4.30,0.481531,0.917072,3.70
4.70,0.030771,0.610412,3.70
4.40,0.408830,0.881725,3.70
2.60,-0.476145,-0.198115,3.70
2.80,-0.343611,-0.133307,3.70
3.20,0.066449,0.160756,3.70
2.40,-0.550091,-0.273194,3.70
4.20,0.524840,0.945329,3.70
3.10,-0.046403,-0.021607,3.70
2.70,-0.409503,-0.014498,3.70
4.80,-0.100407,0.383279,3.70
